z,zeta,as_scale,hmf,cooling_scale,T_min,score
10.0,16.198864774296695,0.8,ST,2.0,15000.0,0.0020266435359785214
10.0,17.07540188232742,0.8,ST,2.0,15000.0,0.001985030215891082
10.0,17.999369308004486,0.8,ST,2.0,15000.0,0.0019407073268576846
10.0,18.973333554230518,0.8,ST,2.0,15000.0,0.001894124231428024
10.0,20.000000000000004,0.8,ST,2.0,15000.0,0.001845683504112485
10.0,3.0,0.8,PS,0.5,8000.0,0.00020734825525649378
10.0,3.1623330622689494,0.8,PS,0.5,8000.0,0.0002737773020727866
10.0,3.33345013223977,0.8,PS,0.5,8000.0,0.0003521068383621553
10.0,3.5138265215355418,0.8,PS,0.5,8000.0,0.00044216750474190586
10.0,3.703963261376446,0.8,PS,0.5,8000.0,0.0005433459247181215
10.0,3.9043884942934204,0.8,PS,0.5,8000.0,0.0006546225566762859
10.0,4.1156589411488556,0.8,PS,0.5,8000.0,0.0007746303915752117
10.0,4.338361447539279,0.8,PS,0.5,8000.0,0.0009017097172310044
10.0,4.573114613875481,0.8,PS,0.5,8000.0,0.0010340213031540214
10.0,4.820570513667911,0.8,PS,0.5,8000.0,0.0011695707115452051
10.0,5.0814165047902815,0.8,PS,0.5,8000.0,0.0013063706346865083
10.0,5.356377138752477,0.8,PS,0.5,8000.0,0.00144244907530173
10.0,5.389452332657201,0.8,PS,0.5,8000.0,0.0014582142823604048
10.0,5.646216173286171,0.8,PS,0.5,8000.0,0.001575932192789323
10.0,5.9517386938335095,0.8,PS,0.5,8000.0,0.0017050960834288976
10.0,6.273793349831704,0.8,PS,0.5,8000.0,0.0018283844647832218
10.0,6.613274712005288,0.8,PS,0.5,8000.0,0.0019444844684863886
10.0,6.971125757213828,0.8,PS,0.5,8000.0,0.0020522472592564163
10.0,7.3483404877573175,0.8,PS,0.5,8000.0,0.0021508292574273407
10.0,7.745966692414836,0.8,PS,0.5,8000.0,0.0022395121416840733
10.0,8.165108856885828,0.8,PS,0.5,8000.0,0.002317834106199045
10.0,8.606931231718361,0.8,PS,0.5,8000.0,0.0023855666587429486
10.0,9.072661066246061,0.8,PS,0.5,8000.0,0.0024425966977947243
10.0,9.563592017516726,0.8,PS,0.5,8000.0,0.0024889991776865864
